dummy,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,IHH1,IHH2,IHH3,IHH4,IHH5,MHH1,MHH2,MHH3,MHH4,MHH5,IUSSOC1,IUSSOC2,IUSSOC3,IUSSOC4,MUSSOC1,MUSSOC2,MUSSOC3,MUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
IAGMIN,4.607054619,6.249717821,5.687771473,76.68523132,0.029519282,0.26114889,4.386995706,0.409431192,0.123287517,1.525609269,0.154197601,0.049223108,0.370364296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27344272,0,0,0,0,0,0,0.173690105,0.274148789,0.868685247,1.016561932,0.556133352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461722564,0.12879393,0.193190895,0,0,0,0,23.55819874
IUTIL,0.184016351,47.7668804,1.977051104,12.1557315,0.852269583,10.08864404,1.995690409,5.582818175,2.633273493,1.456652798,4.054942255,1.013604714,5.517705896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.15508654,0,0,0,0,0,0,1.826576649,3.093445907,7.536057256,7.576100997,3.381453219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.677445348,0.147801494,0.221702241,0,0,0,0,42.44995628
ICONS,0.522216173,0.920487369,0.219974988,4.819414983,0.280823689,2.625255641,2.92577606,4.812095392,6.120229367,16.1175792,1.099820508,0.216732302,1.520804203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.2670302,453.5920895,102.9863674,21.3025198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596414903,0.052550751,0.078826127,0,0,0,0,263.0410379
IMANU,1.88865278,1.535309235,79.76586464,143.276662,1.475471518,6.423497705,30.11783543,24.37795118,1.732800438,4.472834571,14.29742545,1.430681875,18.98050922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5114641,0,0,0,0,0,0,4.744799453,8.187985993,22.97640422,28.40210706,15.39208967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.787021475,0.509900617,0.764850925,0,0,0,0,220.3464718
IWHOLE,0.702583373,0.48302086,30.53906781,51.16469977,3.295797689,9.26786138,10.18234347,11.29135298,1.288810716,1.603249567,12.12068086,0.725415198,6.852870949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98114914,0,0,0,0,0,0,3.465971038,6.024388892,17.07645665,21.60347791,12.87861924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.834538402,0.249754193,0.37463129,0,0,0,0,12.96504823
IRETAIL,0.008443215,0.040276,41.60852624,2.653924427,0.043711511,2.019092039,1.79298484,2.096207878,0.632062212,0.059159172,0.316555331,0.216801604,2.400548925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98114914,0,0,0,0,0,0,8.764389274,15.4657189,44.37422637,58.49762262,37.11644315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08242543,0.271595783,0.407393674,0,0,0,0,178.7195331
ITRANS,0.683695118,3.119504705,11.34432749,25.95661591,5.71605217,33.359571,45.75322264,18.98057135,0.582489511,2.984013401,5.482428062,1.783759519,3.734005353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.84434499,0,0,0,0,0,0,1.458002881,2.531935385,7.409297465,10.99812589,8.932504773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.696652562,0.237604925,0.356407388,0,0,0,0,225.7642278
IPROFSER,1.78826064,3.818801651,36.36063463,55.42974179,19.88209719,82.09772451,37.32536444,468.7149744,22.61197086,30.19617935,101.9379147,17.99124457,32.85949201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.4283926,0,0,0,0,0,0,13.53439838,24.5895439,73.68995318,101.3171154,52.56683477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6300616,1.465292415,2.197938622,0,0,0,0,665.2981276
IREALE,0.552531297,0.399076059,10.98291037,5.188557581,5.267505521,51.54114295,14.58968406,64.95767196,7.167987972,5.701652742,35.77305417,9.427261392,16.82407593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.66885945,0,0,0,0,0,0,13.09210046,21.49094362,64.12416462,91.95129604,61.82177014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.795732322,0.598779202,0.898168804,0,0,0,0,68.24190413
IEDU,0.055993786,0.394457479,0.787992271,2.391469799,0.38553399,3.250443096,2.556025508,5.025515418,0.292748485,1.958766768,2.147855766,0.906311823,1.269918031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.776765814,0,0,0,0,0,0,2.288033821,4.354708375,10.75667189,15.40240478,11.46628117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92838974,0.081801407,0.122702111,0,0,0,0,884.0680826
IHEALTH,0,0,0,0,0,0,0,0.060430435,0,0,5.859886703,0.017408889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.208426028,0,0,0,0,0,0,13.7346676,28.666334,60.24103427,86.28278035,49.84710118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.458395591,0.304722914,0.457084371,0,0,0,0,345.8266422
IART,0.002706146,0.018762102,0.153125894,0.325374115,0.128999856,0.715167806,0.162479266,6.27741638,0.055359244,0.238623645,0.567299032,5.403591565,0.763449892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.614506654,0,0,0,0,0,0,0.766208767,2.035407134,5.543266459,9.133722487,6.249507211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544678907,0.047992238,0.071988357,0,0,0,0,66.02353192
IACCO,0.063965,0.251515019,0.772533609,2.081922495,0.46674045,1.677321985,1.593974598,13.50343024,0.40288656,0.540355149,6.197610715,0.330100047,1.885435112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1096954,0,0,0,0,0,0,4.48324729,7.232556251,22.91576519,35.94232459,22.30142077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.733272003,0.15272044,0.229080659,0,0,0,0,206.0088107
MAGMIN,0,0,0,0,0,0,0,0,0,0,0,0,0,6.910581929,9.374576732,8.53165721,115.027847,0.044278923,0.391723336,6.580493558,0.614146788,0.184931276,2.288413903,0.231296402,0.073834661,0.555546444,0,0,0,0,0,0,0,0,0,1.5717528,0,0,0,0,0,0,0,0,0,0,0,0.843067,1.330679128,4.216474313,4.934246657,2.699391983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.329529642,0.205257334,0.307886001,0,0,0,0,25.54319775
MUTIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276024527,71.6503206,2.965576655,18.23359725,1.278404375,15.13296606,2.993535614,8.374227263,3.949910239,2.184979197,6.082413383,1.52040707,8.276558844,0,0,0,0,0,0,0,0,0,281.5081779,0,0,0,0,0,0,0,0,0,0,0,8.865942584,15.0151453,36.57894727,36.77331388,16.41309173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.625948303,0.319486161,0.479229242,0,0,0,0,111.9700667
